seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,day_of_week,main_line_norm,overnight_flag,dep_dt,arr_dt,block_time_min,sched_dur_min,dur_diff_min,est_revenue_won_general
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Fri,Gyeongbu Line,0,2024-01-05 09:56:00,2024-01-05 14:55:00,299.0,299.0,0.0,22158684.0
8,3008,화물,정기,상,부산신항,9:56:00,오봉,14:55:00,4:59:00,402.3,일화수목금토,경부선,,09:56:00,14:55:00,17940,80.72909698996655,Sat,Gyeongbu Line,0,2024-01-06 09:56:00,2024-01-06 14:55:00,299.0,299.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Sun,Gyeongbu Line,0,2024-01-07 07:49:00,2024-01-07 12:37:00,288.0,288.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Tue,Gyeongbu Line,0,2024-01-02 07:49:00,2024-01-02 12:37:00,288.0,288.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Wed,Gyeongbu Line,0,2024-01-03 07:49:00,2024-01-03 12:37:00,288.0,288.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Thu,Gyeongbu Line,0,2024-01-04 07:49:00,2024-01-04 12:37:00,288.0,288.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Fri,Gyeongbu Line,0,2024-01-05 07:49:00,2024-01-05 12:37:00,288.0,288.0,0.0,22158684.0
9,3009,화물,정기,하,오봉,7:49:00,부산신항,12:37:00,4:48:00,402.3,일화수목금토,경부선,,07:49:00,12:37:00,17280,83.8125,Sat,Gyeongbu Line,0,2024-01-06 07:49:00,2024-01-06 12:37:00,288.0,288.0,0.0,22158684.0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,Mon,Gyeongbu Line,0,2024-01-01 15:36:00,2024-01-01 20:27:00,291.0,291.0,0.0,22158684.0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,Tue,Gyeongbu Line,0,2024-01-02 15:36:00,2024-01-02 20:27:00,291.0,291.0,0.0,22158684.0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,Wed,Gyeongbu Line,0,2024-01-03 15:36:00,2024-01-03 20:27:00,291.0,291.0,0.0,22158684.0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,Thu,Gyeongbu Line,0,2024-01-04 15:36:00,2024-01-04 20:27:00,291.0,291.0,0.0,22158684.0
10,3010,화물,정기,상,부산신항,15:36:00,오봉,20:27:00,4:51:00,402.3,월화수목금,경부선,,15:36:00,20:27:00,17460,82.94845360824743,Fri,Gyeongbu Line,0,2024-01-05 15:36:00,2024-01-05 20:27:00,291.0,291.0,0.0,22158684.0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,Tue,Gyeongbu Line,0,2024-01-02 10:07:00,2024-01-02 15:00:00,293.0,293.0,0.0,22158684.0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,Wed,Gyeongbu Line,0,2024-01-03 10:07:00,2024-01-03 15:00:00,293.0,293.0,0.0,22158684.0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,Thu,Gyeongbu Line,0,2024-01-04 10:07:00,2024-01-04 15:00:00,293.0,293.0,0.0,22158684.0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,Fri,Gyeongbu Line,0,2024-01-05 10:07:00,2024-01-05 15:00:00,293.0,293.0,0.0,22158684.0
11,3011,화물,정기,하,오봉,10:07:00,부산신항,15:00:00,4:53:00,402.3,화수목금토,경부선,,10:07:00,15:00:00,17580,82.38225255972696,Sat,Gyeongbu Line,0,2024-01-06 10:07:00,2024-01-06 15:00:00,293.0,293.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Sun,Gyeongbu Line,0,2024-01-07 17:18:00,2024-01-07 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Mon,Gyeongbu Line,0,2024-01-01 17:18:00,2024-01-01 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Tue,Gyeongbu Line,0,2024-01-02 17:18:00,2024-01-02 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Wed,Gyeongbu Line,0,2024-01-03 17:18:00,2024-01-03 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Thu,Gyeongbu Line,0,2024-01-04 17:18:00,2024-01-04 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Fri,Gyeongbu Line,0,2024-01-05 17:18:00,2024-01-05 22:13:00,295.0,295.0,0.0,22158684.0
12,3012,화물,정기,상,부산신항,17:18:00,오봉,22:13:00,4:55:00,402.3,일월화수목금토,경부선,,17:18:00,22:13:00,17700,81.82372881355931,Sat,Gyeongbu Line,0,2024-01-06 17:18:00,2024-01-06 22:13:00,295.0,295.0,0.0,22158684.0
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,Tue,Gyeongbu Line,0,2024-01-02 15:10:00,2024-01-02 20:24:00,314.0,314.0,0.0,22158684.0
13,3013,화물,정기,하,오봉,15:10:00,부산신항,20:24:00,5:14:00,402.3,화수목금토,경부선,,15:10:00,20:24:00,18840,76.87261146496816,Wed,Gyeongbu Line,0,2024-01-03 15:10:00,2024-01-03 20:24:00,314.0,314.0,0.0,22158684.0
