seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,days_en,main_line_norm,overnight_flag
52,3080,화물,정기,상,신광양항,10:28:00,군산,14:04:00,3:36:00,187.2,월화수목금토,전라선,,10:28:00,14:04:00,12960,51.99999999999999,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
53,3081,화물,정기,상,황등,16:38:00,부산신항,22:41:00,6:03:00,312.1,월화수목금,경전선,,16:38:00,22:41:00,21780,51.586776859504134,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongjeon Line,0
54,3082,화물,정기,하,부산신항,5:10:00,황등,11:32:00,6:22:00,312.1,월화수목금,경전선,,05:10:00,11:32:00,22920,49.02094240837697,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongjeon Line,0
55,3083,화물,정기,상,황등,16:00:00,부산신항,21:03:00,5:03:00,312.1,월화수목금,경전선,,16:00:00,21:03:00,18180,61.801980198019805,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongjeon Line,0
56,3084,화물,정기,하,부산신항,6:30:00,황등,12:28:00,5:58:00,312.1,월화수목금,경전선,,06:30:00,12:28:00,21480,52.3072625698324,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Gyeongjeon Line,0
57,3085,화물,정기,하,동해,17:19:00,부산신항,6:57:00,13:38:00,501.6,월화수목금,중앙선,,17:19:00,06:57:00,49080,36.79217603911981,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Jungang Line,1
58,3086,화물,정기,상,부산신항,19:40:00,동해,8:21:00,12:41:00,501.6,일월화수목,중앙선,,19:40:00,08:21:00,45660,39.54796320630749,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu']",Jungang Line,1
59,3087,화물,정기,하,문수,18:53:00,부산진,4:26:00,9:33:00,270.8,월화수목금토,중앙선,,18:53:00,04:26:00,34380,28.356020942408374,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,1
60,3088,화물,정기,상,부산진,5:15:00,문수,11:12:00,5:57:00,270.8,월화수목금토,중앙선,,05:15:00,11:12:00,21420,45.51260504201681,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,0
61,3091,화물,정기,하,동해,3:32:00,부산진,14:05:00,10:33:00,423.4,일월화수목금토,중앙선,,03:32:00,14:05:00,37980,40.132701421800945,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,0
62,3093,화물,정기,하,동해,11:40:00,부산진,22:03:00,10:23:00,423.4,일월화수목금토,중앙선,,11:40:00,22:03:00,37380,40.776886035313,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jungang Line,0
